sample_fp	plate	well	tile	cycle	channel
/lab/ops_data/pumori/input_sbs/plate_1/C10/B1_1_0_Fluorescence_638_nm_Ex_-_1.tiff	1	B1	1	10	638_nm_Ex_-_1
/lab/ops_data/pumori/input_sbs/plate_1/C10/B1_1_0_Fluorescence_638_nm_Ex_-_2.tiff	1	B1	1	10	638_nm_Ex_-_2
/lab/ops_data/pumori/input_sbs/plate_1/C11/B1_1_0_Fluorescence_405_nm_Ex.tiff	1	B1	1	11	405_nm_Ex
/lab/ops_data/pumori/input_sbs/plate_1/C11/B1_1_0_Fluorescence_561_nm_Ex_-_1.tiff	1	B1	1	11	561_nm_Ex_-_1
/lab/ops_data/pumori/input_sbs/plate_1/C11/B1_1_0_Fluorescence_561_nm_Ex_-_2.tiff	1	B1	1	11	561_nm_Ex_-_2
/lab/ops_data/pumori/input_sbs/plate_1/C11/B1_1_0_Fluorescence_638_nm_Ex_-_1.tiff	1	B1	1	11	638_nm_Ex_-_1
/lab/ops_data/pumori/input_sbs/plate_1/C11/B1_1_0_Fluorescence_638_nm_Ex_-_2.tiff	1	B1	1	11	638_nm_Ex_-_2
/lab/ops_data/pumori/input_sbs/plate_1/C12/B1_1_0_Fluorescence_405_nm_Ex.tiff	1	B1	1	12	405_nm_Ex
/lab/ops_data/pumori/input_sbs/plate_1/C12/B1_1_0_Fluorescence_561_nm_Ex_-_1.tiff	1	B1	1	12	561_nm_Ex_-_1
/lab/ops_data/pumori/input_sbs/plate_1/C12/B1_1_0_Fluorescence_561_nm_Ex_-_2.tiff	1	B1	1	12	561_nm_Ex_-_2
/lab/ops_data/pumori/input_sbs/plate_1/C12/B1_1_0_Fluorescence_638_nm_Ex_-_1.tiff	1	B1	1	12	638_nm_Ex_-_1
/lab/ops_data/pumori/input_sbs/plate_1/C12/B1_1_0_Fluorescence_638_nm_Ex_-_2.tiff	1	B1	1	12	638_nm_Ex_-_2
/lab/ops_data/pumori/input_sbs/plate_1/C1/B1_2_0_Fluorescence_405_nm_Ex.tiff	1	B1	2	1	405_nm_Ex
/lab/ops_data/pumori/input_sbs/plate_1/C1/B1_2_0_Fluorescence_561_nm_Ex_-_1.tiff	1	B1	2	1	561_nm_Ex_-_1
/lab/ops_data/pumori/input_sbs/plate_1/C1/B1_2_0_Fluorescence_561_nm_Ex_-_2.tiff	1	B1	2	1	561_nm_Ex_-_2
/lab/ops_data/pumori/input_sbs/plate_1/C1/B1_2_0_Fluorescence_638_nm_Ex_-_1.tiff	1	B1	2	1	638_nm_Ex_-_1
/lab/ops_data/pumori/input_sbs/plate_1/C1/B1_2_0_Fluorescence_638_nm_Ex_-_2.tiff	1	B1	2	1	638_nm_Ex_-_2
/lab/ops_data/pumori/input_sbs/plate_1/C2/B1_2_0_Fluorescence_405_nm_Ex.tiff	1	B1	2	2	405_nm_Ex
/lab/ops_data/pumori/input_sbs/plate_1/C2/B1_2_0_Fluorescence_561_nm_Ex_-_1.tiff	1	B1	2	2	561_nm_Ex_-_1
/lab/ops_data/pumori/input_sbs/plate_1/C2/B1_2_0_Fluorescence_561_nm_Ex_-_2.tiff	1	B1	2	2	561_nm_Ex_-_2
/lab/ops_data/pumori/input_sbs/plate_1/C2/B1_2_0_Fluorescence_638_nm_Ex_-_1.tiff	1	B1	2	2	638_nm_Ex_-_1
/lab/ops_data/pumori/input_sbs/plate_1/C2/B1_2_0_Fluorescence_638_nm_Ex_-_2.tiff	1	B1	2	2	638_nm_Ex_-_2
/lab/ops_data/pumori/input_sbs/plate_1/C3/B1_2_0_Fluorescence_405_nm_Ex.tiff	1	B1	2	3	405_nm_Ex
/lab/ops_data/pumori/input_sbs/plate_1/C3/B1_2_0_Fluorescence_561_nm_Ex_-_1.tiff	1	B1	2	3	561_nm_Ex_-_1
/lab/ops_data/pumori/input_sbs/plate_1/C3/B1_2_0_Fluorescence_561_nm_Ex_-_2.tiff	1	B1	2	3	561_nm_Ex_-_2
